date,gross_ret,cost_ret,gross_leverage,n_long,n_short,portfolio_turnover,net_ret,equity,cum_ret
2024-07-30,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-07-31,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-01,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-02,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-05,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-06,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-07,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-08,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-09,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-12,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-13,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-14,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-16,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-19,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-20,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-21,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-22,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-23,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-26,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-27,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-28,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
2024-08-29,0.0,0.0,0.0,0,0,0.0,0.0,1197667.0149906713,0.1976670149906714
